"name","global_sales_m","na_sales_m","eu_sales_m","jp_sales_m","other_sales_m","meta_critic_score","meta_user_score","platform","plf_con","plf_pc","publisher","developer","num_g_pub","game_genre","gen_action","gen_adventure","gen_racing","gen_roleplaying","gen_simulation","gen_sports","gen_strategy","gen_mmo","gen_misc","franchise","originalcost_$","meta_release_date","singleplayer","multiplayer","coop","controller","meta_esrb","esrb_everyone","esrb_teens","esrb_adults","esrb_pending","indie","soundtrack","presence","languages","num_languages","platform_release_date","platform_release_year","release_diff_days"
"Lost Planet 2",0.76,0.38,0.24,0.08,0.06,68,62,"Xbox 360",1,0,"Capcom  ","Capcom  ",549,"Shooter",1,0,0,0,0,0,0,0,0,0,19.99,2010-05-11,1,1,1,1,"T",0,1,0,0,0,0,1000801,"English, French, German, Italian, Japanese, Korean, Polish, Russian",8,2005-11-22,2005,1631
"Brutal Legend",0.94,0.54,0.27,NA,0.13,83,76,"PlayStation 3",1,0,"Electronic Arts  ","Double Fine Productions  ",761,"Action",1,0,0,0,0,0,0,0,0,0,14.99,2009-10-13,1,1,0,1,"M",0,0,1,0,0,0,844518,"English, German, French, Italian",4,2006-11-11,2006,1067
"Onimusha: Warlords",0.03,NA,NA,0.03,NA,74,54,"PlayStation 4",1,0,"Capcom  ","Capcom  ",549,"Action-Adventure",1,0,0,0,0,0,0,0,0,0,19.99,2019-01-15,1,0,0,1,"M",0,0,1,0,0,0,98273,"English, French, Italian, German, Japanese",5,2013-11-15,2013,1887
"Utawarerumono: Mask of Truth",0.13,0.05,NA,0.07,0.01,75,76,"PlayStation 4",1,0,"Atlus  ","Aqua Plus  ",309,"Visual+Novel",0,1,0,0,0,0,0,0,0,1,39.99,2017-09-05,0,0,0,1,"M",0,0,1,0,0,0,481,"English, Japanese",2,2013-11-15,2013,1390
"Oddworld: Stranger's Wrath",0.26,0.19,0.06,NA,0.01,88,88,"Xbox",1,0,"Electronic Arts  ","Oddworld Inhabitants  ",761,"Action",1,0,0,0,0,0,0,0,0,0,9.99,2005-01-25,1,0,0,0,"T",0,1,0,0,0,0,77383,"English",2,2001-11-15,2001,1167
"Child of Light",0.01,NA,0.01,NA,0,77,81,"PC",0,1,"Ubisoft  ","Ubisoft Montreal  ",802,"Role-Playing",0,0,0,1,0,0,0,0,0,0,14.99,2014-04-29,1,0,0,1,"E10+",1,0,0,0,1,0,930533,"English, French, Italian, German, Japanese, Russian",6,1962-01-01,1962,19111
"Lara Croft and the Temple of Osiris",0.09,NA,0.07,NA,0.01,74,66,"PlayStation 4",1,0,"Square Enix  ","Crystal Dynamics  ",318,"Action",1,0,0,0,0,0,0,0,0,1,19.99,2014-12-09,1,1,1,1,"T",0,1,0,0,0,0,127464,"English, French, Italian, German, Russian",5,2013-11-15,2013,389
"Dungeons 2",0.02,0.02,NA,NA,0,61,69,"PlayStation 4",1,0,"Kalypso Media  ","Realmforge Studios  ",22,"Role-Playing",0,0,0,1,0,0,0,0,0,1,19.99,2016-05-24,1,1,0,1,"T",0,1,0,0,0,0,1000818,"English, German, French, Italian, Russian, Polish, Czech",7,2013-11-15,2013,921
"Dead Rising 2: Off the Record",0.32,0.11,0.08,0.1,0.03,72,68,"PlayStation 3",1,0,"Capcom  ","Blue Castle Games  ",549,"Action",1,0,0,0,0,0,0,0,0,1,19.99,2011-10-11,1,1,1,1,"M",0,0,1,0,0,0,494772,"English, French, Italian, Japanese, Korean",5,2006-11-11,2006,1795
"Dead Rising 2: Off the Record",0.27,0.17,0.08,NA,0.02,72,74,"Xbox 360",1,0,"Capcom  ","Blue Castle Games  ",549,"Action",1,0,0,0,0,0,0,0,0,1,19.99,2011-10-11,1,1,1,1,"M",0,0,1,0,0,0,494772,"English, French, Italian, Japanese, Korean",5,2005-11-22,2005,2149
"428: Shibuya Scramble",0.02,0.01,NA,0.01,0,85,73,"PlayStation 4",1,0,"Spike Chunsoft  ","Abstraction Games  ",13,"Visual+Novel",0,1,0,0,0,0,0,0,0,0,49.99,2018-09-04,0,0,0,1,"T",0,1,0,0,0,0,4444,"English",2,2013-11-15,2013,1754
"RollerCoaster Tycoon World",0.05,NA,0.05,NA,0,43,21,"PC",0,1,"Atari  ","Nvizzio Creations  ",527,"Simulation",0,0,0,0,1,0,0,0,0,0,14.99,2016-11-16,1,1,1,1,"E",1,0,0,0,0,0,882556,"English, French, Italian, German, Russian, Dutch",6,1962-01-01,1962,20043
"LEGO Indiana Jones: The Original Adventures",2.2,1.4,0.6,NA,0.21,80,78,"Nintendo DS",1,0,"LucasArts  ","Traveller's Tales  ",117,"Adventure",0,1,0,0,0,0,0,0,0,0,19.99,2008-06-03,1,0,0,1,"E",1,0,0,0,0,0,221675,"English, Danish, French, German, Italian",5,2004-11-21,2004,1290
"LEGO Indiana Jones: The Original Adventures",2.35,1.51,0.62,NA,0.22,78,68,"Wii",1,0,"LucasArts  ","Traveller's Tales  ",117,"Adventure",0,1,0,0,0,0,0,0,0,0,19.99,2008-06-03,1,0,0,1,"E10+",1,0,0,0,0,0,221675,"English, Danish, French, German, Italian",5,2006-11-19,2006,562
